Name,Type,Latitude,Longitude,Location,Wikipedia link,Picture link,Build in year
Adadi Mariyam,Rock Hewn,8.625,38.3761,Shewa,https://en.wikipedia.org/wiki/Adadi_Mariam,https://travelethiopiawithmuluken.files.wordpress.com/2019/04/adadi-mariam_by_muluken.jpg,12th century
Axum Tsion Mariyam,Church,14.1245,38.7223,Tigray,https://en.wikipedia.org/wiki/Church_of_Our_Lady_Mary_of_Zion,https://en.wikipedia.org/wiki/Church_of_Our_Lady_Mary_of_Zion#/media/File:Church_Our_Lady_Mary_Zion_Axum_Ethio.jpg,17th century
Debre Libanos,Monastry,9.802,38.6503,Shewa,https://en.wikipedia.org/wiki/Debre_Libanos,https://borkena.com/wp-content/uploads/2017/01/Debre-Libanos-monastery-1.jpg,13th century
Daga Estifanos,Monastry,11.5,37.2,Amahara,https://en.wikipedia.org/wiki/Daga_Island,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftoplist.info%2Ftop%2Fdaga-island-34009.htm&psig=AOvVaw0RQTJ4DbJAeYkl6M-NuLNU&ust=1698200408141000&source=images&cd=vfe&ved=0CBAQjRxqFwoTCMCzhNXPjYIDFQAAAAAdAAAAABAy,19th century
Biete Mariam-Lalibela,Rock Hewn,12.03,39.04,Amahara,https://en.wikipedia.org/wiki/Biete_Maryam,https://www.nonbillablehours.com/wp-content/uploads/2014/11/lalibela-window.jpg,13th century
Ura Kidane Mehret,Monastry,11.41,37.2,Amahara,https://en.wikipedia.org/wiki/Ura_Kidane_Mehret,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Ura_Kidane_Mehret_Church_01.jpg/1024px-Ura_Kidane_Mehret_Church_01.jpg,16th century
Kibran Gebriel,Monastry,11.8,36.4,Amahara,https://www.lonelyplanet.com/ethiopia/lake-tana-its-monasteries/attractions/kebran-gabriel/a/poi-sig/1424485/1330698,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Lago_tana%2C_isola_di_Kebran_Gabriel_02.jpg/1024px-Lago_tana%2C_isola_di_Kebran_Gabriel_02.jpg,17th century
Narga Selassie,Monastry,11.9,37.2,Amahara,https://en.wikipedia.org/wiki/Narga_Selassie,https://lh3.googleusercontent.com/p/AF1QipPt866E28oAQISgEwKDfQ1zfwpumk_vwax4fN_f=s680-w680-h510,18th century
Tana Qirqos,Monastry,11.5,37.3,Amahara,https://en.wikipedia.org/wiki/Tana_Qirqos,,5th century
Holly Thrinity Cathedral,Cathedral,9,39.7,AA,https://en.wikipedia.org/wiki/Holy_Trinity_Cathedral_(Addis_Ababa),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Addis_abeba%2C_chiesa_della_trinit%C3%A0%2C_esterno_02.jpg/800px-Addis_abeba%2C_chiesa_della_trinit%C3%A0%2C_esterno_02.jpg,1942
Abuna Yemata Guh church,Monastry,13.9,39.3,Tigray,https://en.wikipedia.org/wiki/Abuna_Yemata_Guh,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/68/fe/37/photo0jpg.jpg?w=1200&h=-1&s=1,5th century
Yimrehanne Kirstos,Monastry,12.1,39,Amahara,https://en.wikipedia.org/wiki/Yemrehana_Krestos_Church,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Yemerehne_kristos%2C_esterno%2C_01.jpg/1024px-Yemerehne_kristos%2C_esterno%2C_01.jpg,12th century
St. George's Cathedral,Cathedral,9,38.5,AA,"https://en.wikipedia.org/wiki/St._George%27s_Cathedral,_Addis_Ababa",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Katedr%C3%A1la_sv._Ji%C5%99%C3%AD.jpg/800px-Katedr%C3%A1la_sv._Ji%C5%99%C3%AD.jpg,15th century
Entoto Maryam,Church,,,AA,https://en.wikipedia.org/wiki/Entoto_Maryam_Church,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Entoto_Mariam_church%2C_13-03-2020.jpg/1024px-Entoto_Mariam_church%2C_13-03-2020.jpg,1877
Bole Medhanealem,Church,8.6,3947,AA,"https://en.wikipedia.org/wiki/Medhane_Alem_Cathedral,_Addis_Ababa",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/fc/f7/57/impressive-facade.jpg?w=1000&h=-1&s=1,
Chapel of Tablet,Church,14.1245,38.7223,Tigray,https://en.wikipedia.org/wiki/Church_of_Our_Lady_Mary_of_Zion,https://en.wikipedia.org/wiki/Church_of_Our_Lady_Mary_of_Zion#/media/File:Church_Our_Lady_Mary_Zion_Axum_Ethio.jpg,17th century
Abreha and Atsbeha,Rock Hewn,,,Tigray,https://en.wikipedia.org/wiki/Abreha_and_Atsbeha,https://hadgi.com/wp-content/uploads/2023/01/Abreha-we-atsbeha-2.jpg,4th century
Bete Amanuel,Rock Hewn,12.03,39.04,Amahara,https://en.wikipedia.org/wiki/Biete_Amanuel,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Lalibela%2C_chiesa_di_bete_amanuel%2C_esterno_01%2C0.jpg/800px-Lalibela%2C_chiesa_di_bete_amanuel%2C_esterno_01%2C0.jpg,
Bete Giorgis,Rock Hewn,12.01,39.02,Amahara,"https://en.wikipedia.org/wiki/Church_of_Saint_George,_Lalibela",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Lalibela%2C_san_giorgio%2C_esterno_24.jpg/800px-Lalibela%2C_san_giorgio%2C_esterno_24.jpg,
Bete Abba Libanos,Rock Hewn,,,Amahara,https://en.wikipedia.org/wiki/Biete_Abba_Libanos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Bet_Abba_Libanos_%285499043130%29.jpg/1024px-Bet_Abba_Libanos_%285499043130%29.jpg,
